X;Y;NAME;WILNAME;POP;FORMERBREE
22.402;44.708;Dierna;0;5000;orbcities
21.897;43.328;Naissus;0;5000;orbcities
4.031;49.262;Durocortorum;Remi;5000;orbcities
19.28;42.479;Doclea;Doclea;5000;orbcities
21.192;42.598;Ulpiana;0;5000;orbcities
4.889;44.929;Valentia;Valentia;5000;orbcities
20.469;44.818;Singidunum;0;5000;orbcities
0.5;44.5;Turones;0;5000;wilcities
5.858672;51.84167;Ulpia Noviomagus Batavorum;0;5000;wilcities
8.850947;39.810711;Atuatuca Tungrorum;0;5000;wilcities
27.59;37.19;Bargylia;Iasos;5100;orbcities
24.149388;35.466552;Aptera;0;5250;wilcities
31.398;36.775;Side;Side;5850;orbcities
30.695398;37.4958065;Cremna/Col. Iulia Augusta Felix;0;5850;wilcities
30.607;30.854;Naucratis;Naukratis;5920;orbcities
16.37;45.482;Siscia;Siscia;6000;orbcities
15.869;46.419;Poetovio;Poetovio;6000;orbcities
14.505;46.05;Emona;Emona;6000;orbcities
9.501;40.929;Olbia;Olbia;6000;orbcities
9.526;42.124;Aleria;Aleria;6000;orbcities
09.lis;39.215;Caralis;Caralis;6000;orbcities
18.145;47.737;Brigetio;Brigetio;6000;orbcities
31.1701745;36.939091;Aspendus/Primoupolis;0;6000;wilcities
20.565847;32.537142;Tocra;0;6000;wilcities
16.11724;45.773624;Andautonia;0;6000;wilcities
31.18;38.301;Caesarea (Phrygia);Col. Caesarea/Antiochia;6300;orbcities
33.9214625;36.379274;Seleucia ad Calycadnum/Tracheia;0;6450;wilcities
-4.332;51.85;Moridunum;0;7000;orbcities
-1.323;51.068;Venta;0;7000;orbcities
-3.523;50.723;Isca;0;7000;orbcities
-0.592;53.687;Petuaria;0;7000;orbcities
-1.299;52.487;Venonis;0;7000;orbcities
-2.372;51.395;Aquae Sulis;0;7000;orbcities
-2.329;53.464;Mamucio;0;7000;orbcities
-2.936;54.894;Luguvalium;0;7000;orbcities
-2.93;51.741;Burrio;0;7000;orbcities
1.318;51.302;Rutupiae;0;7000;orbcities
-2.262;51.867;Glevum;0;7000;orbcities
-1.113;53.954;Eburacum;0;7000;orbcities
15.562997;46.767482;Flavia Solva;0;7000;wilcities
21.4124805;42.0084425;Scupi;0;7000;wilcities
32.099207;30.553048;Heroonpolis;0;7400;wilcities
31.326702;26.937588;Apollonopolis Heptacomias;0;7638;wilcities
24.8141725;35.0511785;Phaistos;0;7750;wilcities
03.led;42.15;Emporiae;0;8000;orbcities
-7.446;37.217;Aesuris;0;8000;orbcities
-1.652;42.8;Pompelo;0;8000;orbcities
0.52;40.81;Dertosa;0;8000;orbcities
-4.519;38.644;Sisapo;0;8000;orbcities
-0.728;42.845;Summus Pyreneus (East);0;8000;orbcities
-9.145;38.726;Olisipo;0;8000;orbcities
-8.499;40.085;Conimbriga;0;8000;orbcities
-7.851;37.997;Pax Iulia;0;8000;orbcities
19.454;41.324;Dyrrhachium;0;8000;orbcities
24.472;43.707;Oescus;0;8000;orbcities
24.735;42.146;Philippopolis;0;8000;orbcities
21.74;38.26;Patrae;Patras;8000;orbcities
-4.024;39.857;Toletum;0;8000;orbcities
-2.926;38.558;Mariana;0;8000;orbcities
24.71;40.78;Thasos;0;8000;orbcities
23.59;46.067;Apulum;0;8000;orbcities
2.159;41.361;Barcino;0;8000;orbcities
7.727;47.544;Augusta Raurica;Augusta Raurica;8000;orbcities
7.765;48.594;Argentorate;Argentorate (Strasbourg);8000;orbcities
28.643;44.188;Tomis;0;8000;orbcities
13.318;38.117;Panormus;Panormus;8000;orbcities
-4.422;36.715;Malaca;0;8000;orbcities
-4.043;43.432;Portus Blendium;0;8000;orbcities
4.878;45.524;Vienna;Vienna;8000;orbcities
0.627;44.203;Aginnum;0;8000;orbcities
-1.558;47.214;Civitas Namnetum;0;8000;orbcities
-1.966;42.303;Calagurris;0;8000;orbcities
0.099;38.837;Dianium;0;8000;orbcities
-4.112;43.0;Iuliobriga;0;8000;orbcities
-3.625;38.037;Castulo;0;8000;orbcities
23.194;47.168;Porolissum;0;8000;orbcities
-6.293;36.529;Gades;0;8000;orbcities
-6.347;38.915;Emerita Augusta;0;8000;orbcities
-6.049;42.462;Asturica;0;8000;orbcities
27.437;43.315;Marcianopolis;0;8000;orbcities
-5.571;42.605;Legio VII;0;8000;orbcities
-8.424;41.551;Bracara Augusta;0;8000;orbcities
14.dub;35.88;Melita;0;8000;orbcities
led.23;41.115;Tarraco;0;8000;orbcities
15.557;38.192;Messana;0;8000;orbcities
-6.035;37.438;Italica;0;8000;orbcities
14.45;36.85;Camarina;0;8000;orbcities
-4.78;37.884;Corduba;0;8000;orbcities
-5.415;42.533;Lancia;0;8000;orbcities
-5.997;37.382;Hispalis;0;8000;orbcities
0.625;41.613;Ilerda;0;8000;orbcities
27.26;44.116;Durostorum;0;8000;orbcities
-0.992;37.605;Carthago Nova;0;8000;orbcities
23.837;40.814;Amphipolis;0;8000;orbcities
-1.604;41.381;Bilbilis;0;8000;orbcities
úno.34;48.85;Lutetia;Lutetia Paris;8000;orbcities
6.002;47.224;Vesontio;Besontio (Besançon);8000;orbcities
0.354;46.571;Limonum;0;8000;orbcities
12.825;37.583;Selinus;0;8000;orbcities
-0.872;41.646;Caesaraugusta;0;8000;orbcities
-0.63;45.749;Mediolanum (Gaul);0;8000;orbcities
12.437;37.798;Lilybaeum;0;8000;orbcities
28.768;44.552;Histria;0;8000;orbcities
3.284003;48.198029;Senones;0;8000;wilcities
3.217941;43.3416765;Baeterrae;0;8000;wilcities
4.071226;45.591982;Aquae Sextiae;0;8000;wilcities
28.144999;37.903405;Nysa/Athymbra;0;8400;wilcities
31.1258615;37.223956;Selge;0;8850;wilcities
18.673;45.549;Mursa;Mursam;9000;orbcities
19.609;44.965;Sirmium;Sirmium;9000;orbcities
31.299944;39.027274;Amorium;0;9450;wilcities
26.694;40.351;Lampsacus;0;9500;orbcities
19.047;47.571;Aquincum;Aquincum (civil settlement);10000;orbcities
srp.75;36.953;Thabraca;Thabraca;10000;orbcities
35.85;34.431;Tripolis;0;10000;orbcities
24.291;41.018;Philippi;Philippi;10000;orbcities
34.816;32.213;Apollonia;0;10000;orbcities
