X,Y,WHO,COLOR,HEADING,XCOR,YCOR,SHAPE,LABEL,LABELCOLOR,BREED,HIDDEN,SIZE,PENSIZE,PENMODE,NAME,WILNAME,POP,POPTYPE,FORMERBREE
6.593,36.362,826,9.9,222,-116.777404351714125,-20.07742534173510762,circle,,9.9,newsites,false,4.4721359549995796,1,up,Cirta,Cirta (Const),30000,0,orbcities
19.047,47.571,827,9.9,14,16.190471148737231,99.59793329681946261,circle,,9.9,newsites,false,2.5819888974716112,1,up,Aquincum,Aquincum (civil settlement),10000,0,orbcities
3.1,42.15,828,9.9,252,-154.071188607621991,41.71943216562091550,circle,,9.9,newsites,false,2.3094010767585029,1,up,Emporiae,0,8000,0,orbcities
8.75,36.953,829,9.9,1,-93.747718511464114,-13.76748360247327341,circle,,9.9,newsites,false,2.5819888974716112,1,up,Thabraca,Thabraca,10000,0,orbcities
-7.446,37.217,830,9.9,10,-266.667881640202665,-10.94882942452895058,circle,,9.9,newsites,false,2.3094010767585029,1,up,Aesuris,0,8000,0,orbcities
-4.332,51.85,831,9.9,218,-233.420574404904329,145.28361976433444624,circle,,9.9,newsites,false,2.1602468994692869,1,up,Moridunum,0,7000,0,orbcities
32.875,24.983,832,9.9,52,163.828160438944479,-141.56782644335996224,circle,,9.9,newsites,false,3.0550504633038935,1,up,Apollonopolis Magna,0,14000,0,orbcities
22.402,44.708,833,9.9,246,52.010867993446908,69.03048287464247323,circle,,9.9,newsites,false,1.8257418583505538,1,up,Dierna,0,5000,0,orbcities
35.85,34.431,834,9.9,23,195.591403542673646,-40.69417237813884469,circle,,9.9,newsites,false,2.5819888974716112,1,up,Tripolis,0,10000,0,orbcities
24.291,41.018,835,9.9,105,72.179192774268529,29.63338470564736227,circle,,9.9,newsites,false,2.5819888974716112,1,up,Philippi,Philippi,10000,0,orbcities
-1.652,42.8,836,9.9,52,-204.806963810620601,48.65930040677180557,circle,,9.9,newsites,false,2.3094010767585029,1,up,Pompelo,0,8000,0,orbcities
